Product Name,Brand,Categories,Ingredients,Allergens,Additives Count,Nutri-Score,NOVA Group,Sugar per 100g,Salt per 100g,Saturated Fat per 100g,Energy kcal per 100g
Chocolate Cereal,Sample Foods,Breakfast cereals,"Corn, sugar, cocoa powder, salt, flavoring",May contain milk,2,D,4,28.0,0.8,1.5,390
Honey Corn Flakes,Morning Bowl,Breakfast cereals,"Corn, sugar, honey, salt, vitamins",Not listed,1,C,4,19.0,0.9,0.3,370
Wholegrain Oats,Farm Oats,Breakfast cereals,Wholegrain oats,Gluten,0,A,1,1.2,0.02,0.5,380
Fruit Granola,Fit Snack,Breakfast cereals,"Oats, dried fruit, honey, almonds, sunflower oil","Nuts, gluten",1,B,3,17.0,0.2,1.4,420
Kids Marshmallow Cereal,Fun Bowl,Breakfast cereals,"Corn, sugar, marshmallows, colors, flavoring",May contain milk,5,E,4,35.0,0.7,2.0,410
Plain Yogurt,Fresh Dairy,Dairy,"Milk, live cultures",Milk,0,A,1,4.7,0.12,2.1,61
Strawberry Yogurt,Fresh Dairy,Dairy,"Milk, sugar, strawberry puree, cultures, stabilizer",Milk,2,C,4,13.0,0.15,2.0,95
Greek Yogurt,Protein Dairy,Dairy,"Milk, cream, live cultures",Milk,0,A,1,3.5,0.1,2.5,85
Chocolate Milk Drink,Dairy Fun,"Beverages, dairy","Milk, sugar, cocoa powder, stabilizer",Milk,2,D,4,12.0,0.2,2.3,110
Cheddar Cheese,Cheese House,Dairy,"Milk, salt, cultures, rennet",Milk,0,D,3,0.5,1.8,20.0,402
Potato Chips,Crunchy Co.,Snacks,"Potatoes, sunflower oil, salt",Not listed,1,E,3,0.5,1.8,3.2,540
Salted Crackers,Snack Box,Snacks,"Wheat flour, palm oil, salt, raising agent",Gluten,2,D,4,3.0,2.1,5.5,480
Cheese Puffs,Crunchy Co.,Snacks,"Corn, oil, cheese powder, salt, flavor enhancer",Milk,4,E,4,2.0,2.2,7.0,520
Mixed Nuts,Nutri Mix,Snacks,"Almonds, cashews, peanuts, salt","Nuts, peanuts",0,B,2,2.0,0.6,6.0,590
Rice Cakes,Light Bite,Snacks,"Wholegrain rice, salt",Not listed,0,B,2,0.5,0.5,0.2,390
Popcorn Sweet & Salty,Movie Snack,Snacks,"Corn, sugar, sunflower oil, salt",Not listed,1,C,3,14.0,1.2,2.0,430
Oat Biscuits,Baker House,Biscuits,"Oats, wheat flour, sugar, palm oil, raising agent",Gluten,2,C,4,18.0,0.7,6.5,460
Chocolate Cookies,Sweet Bite,Biscuits,"Wheat flour, sugar, chocolate chips, butter, emulsifier","Gluten, milk, soy",3,E,4,32.0,0.6,12.0,510
Vanilla Wafer,Sweet Bite,Biscuits,"Wheat flour, sugar, vegetable oil, vanilla flavor",Gluten,3,D,4,27.0,0.5,8.0,480
Dark Chocolate,Cocoa Select,Chocolate,"Cocoa mass, sugar, cocoa butter, vanilla",May contain nuts,0,D,3,30.0,0.01,25.0,590
Milk Chocolate Bar,Cocoa Select,Chocolate,"Sugar, cocoa butter, milk powder, cocoa mass, emulsifier","Milk, soy",2,E,4,52.0,0.2,18.0,560
Fruit Candy,Candy Land,Confectionery,"Sugar, glucose syrup, colors, flavors, acid",Not listed,5,E,4,70.0,0.02,0.0,350
Sparkling Water,Aqua Pure,Beverages,Carbonated water,Not listed,0,A,1,0.0,0.02,0.0,0
Orange Juice,Fruit Fresh,Beverages,Orange juice,Not listed,0,B,1,8.5,0.01,0.0,45
Cola Drink,Fizz Up,Beverages,"Carbonated water, sugar, caramel color, phosphoric acid, caffeine",Not listed,3,E,4,10.6,0.02,0.0,42
Energy Drink,Boost Max,Beverages,"Water, sugar, caffeine, taurine, vitamins, flavoring",Not listed,4,E,4,11.0,0.1,0.0,48
Iced Tea Peach,Tea Cool,Beverages,"Water, sugar, tea extract, peach flavor, acid",Not listed,2,D,4,7.8,0.03,0.0,32
Instant Noodles,Quick Meal,Ready meals,"Wheat noodles, palm oil, salt, seasoning, flavor enhancers","Gluten, soy",5,E,4,3.0,2.5,8.0,460
Tomato Soup,Kitchen Bowl,Soups,"Tomatoes, water, cream, sugar, salt",Milk,1,C,3,6.0,1.2,1.1,85
Vegetable Soup,Kitchen Bowl,Soups,"Vegetables, water, salt, herbs",Not listed,0,B,2,2.5,0.8,0.2,50
Frozen Pizza,Quick Meal,Ready meals,"Wheat flour, cheese, tomato sauce, processed meat, salt","Gluten, milk",4,E,4,4.0,1.6,8.5,280
Chicken Nuggets,Quick Meal,Frozen food,"Chicken, wheat flour, oil, salt, spices, stabilizer",Gluten,3,D,4,1.5,1.4,4.2,290
Vegetable Lasagna,Green Plate,Ready meals,"Pasta, tomato sauce, vegetables, cheese, salt","Gluten, milk",2,C,3,5.0,1.1,4.0,180
Wholegrain Bread,Daily Bakery,Bread,"Whole wheat flour, water, yeast, salt",Gluten,0,B,3,3.5,1.0,0.4,250
White Toast Bread,Daily Bakery,Bread,"Wheat flour, water, sugar, yeast, salt, emulsifier",Gluten,2,C,4,5.0,1.1,0.6,260
Butter Croissant,French Bakery,Bakery,"Wheat flour, butter, sugar, yeast, salt","Gluten, milk",1,D,4,8.0,0.9,16.0,410
Blueberry Muffin,Baker House,Bakery,"Wheat flour, sugar, blueberries, oil, egg, raising agent","Gluten, egg",3,E,4,29.0,0.7,5.2,430
Tomato Ketchup,Sauce Co.,Sauces,"Tomato paste, sugar, vinegar, salt, spices",Not listed,1,D,4,23.0,2.0,0.1,110
Mayonnaise,Sauce Co.,Sauces,"Oil, egg yolk, vinegar, mustard, salt","Egg, mustard",1,D,3,1.0,1.2,7.0,690
Peanut Butter,Nutri Mix,Spreads,"Roasted peanuts, salt",Peanuts,0,B,2,5.0,0.6,10.0,620
Strawberry Jam,Fruit Jar,Spreads,"Strawberries, sugar, pectin, acid",Not listed,1,D,4,55.0,0.02,0.0,250
Canned Tuna,Sea Pack,Canned food,"Tuna, water, salt",Fish,0,A,3,0.0,1.0,0.5,120
Baked Beans,Bean Bowl,Canned food,"Beans, tomato sauce, sugar, salt",Not listed,1,B,3,5.0,0.9,0.2,95
Protein Bar,Fit Snack,Snack bars,"Protein blend, syrup, cocoa, sweetener, emulsifier","Milk, soy",4,C,4,6.0,0.5,5.5,380
Almond Milk,Plant Fresh,Plant-based drinks,"Water, almonds, calcium, stabilizer",Nuts,2,B,3,0.8,0.15,0.2,30
Soy Milk,Plant Fresh,Plant-based drinks,"Water, soybeans, sugar, calcium, stabilizer",Soy,2,B,3,3.2,0.1,0.3,45
Hummus,Mezza Fresh,Dips,"Chickpeas, tahini, oil, lemon juice, salt",Sesame,0,B,2,1.2,0.9,2.0,250
Frozen Berries,Fruit Fresh,Frozen fruit,Mixed berries,Not listed,0,A,1,7.0,0.01,0.0,50
Apple Sauce,Fruit Jar,Fruit products,"Apples, sugar, lemon juice",Not listed,0,C,3,14.0,0.01,0.0,80
Pasta Sauce,Italian Jar,Sauces,"Tomatoes, oil, salt, herbs, sugar",Not listed,1,B,3,5.0,0.8,0.5,90
Processed Sausage,Meat Co.,Processed meat,"Pork, salt, spices, preservative, smoke flavor",Not listed,4,E,4,1.0,2.2,12.0,320
